 7.844980, 6.273416, 11.59789, 3.601225, 24.11794, 1.299538, 1.252435, 1.685062, 1.473185
 2.00E-48, 3.96E-17, 0.005359, 4.53E-06, 0.000282, 0.020047, 0.060784, 0.006312, 0.016822
 0.935167, 1.230321, 1.078430, 1.187086,-48.29081, 0.182234, 0.132467, 0.131406, 0.172765
 0.106651, 0.020636, 0.052915, 0.058193, 0.001559, 0.175623, 0.420411, 0.360422, 0.218245
 0.184946, 0.165378, 0.188392, 0.136230, 1.594845, 10.54917, 7.898014, 5.715399, 9.798443
 0.208836, 0.190002, 0.134306, 0.387360, 0.005287, 0.021053, 2.65E-43, 1.73E-10, 0.041838
-0.085529,-0.093480,-0.083977, 7.616164, 0.134243,-0.114280,-0.128621,-0.131139,-0.121796
 0.002814, 0.000574, 0.001521, 1.04E-41, 0.330150, 0.050018, 0.065392, 0.033022, 0.040997
 0.086201, 0.127366, 0.108584,-0.124052, 5.379552, 0.141230, 0.125511, 0.182075, 0.159398
 0.187746, 0.029069, 0.085571, 0.070550, 1.85E-10, 0.018676, 0.076586, 0.006577, 0.018731
 2.438707, 16.96664,-58.49303, 0.066581,-0.126977,-45.85098, 2.145278, 21.97214,-35.95539
 0.001555, 0.000701, 0.312815, 0.303291, 0.035161, 0.467503, 0.004206, 0.001338, 0.588985
,-34.05465, 318.1115,, 0.126862, 268.0617,,-46.35423, 223.9206
, 0.001630, 0.244607,, 0.034466, 0.361920,, 0.003512, 0.468992
,,-540.2116,,,-478.7307,,,-414.4392
,, 0.201610,,, 0.288700,,, 0.381070
 0.524195, 0.598046, 0.616279, 0.451784, 0.522563, 0.590352, 0.496886, 0.561130, 0.580628
 1.231381, 1.462716, 2.102712, 3.185059, 1.843095, 2.328765, 0.618625, 1.838008, 2.200158
 57.29148, 28.00926, 21.50169,,,,,,
 4.334814, 3.938306, 3.911326,,,,,,
