"","date","log_gdp_pc_s","gov_gdp_s","gov_con_gdp_s","pub_inv_gdp_s","priv_inv_gdp_s","tr_op_s","growth_gdp"
"1",2006-01-01,8.56450344290489,0.181181767057434,0.136108739242689,0.0450624794753386,0.179914242759861,0.822391410498332,NA
"2",2006-04-01,8.55794988831335,0.195656093908528,0.160621383619518,0.0384324054770323,0.197685631490761,0.86728604073086,-0.000538598423895812
"3",2006-07-01,8.56644841135586,0.184622488224596,0.14554984592595,0.038311578033145,0.213838790790676,0.891163775117892,0.000942614877870655
"4",2006-10-01,8.57890678510025,0.201065797224841,0.158423647601464,0.0408362572901294,0.217378843505345,0.924390898449648,0.00132610982239684
"5",2007-01-01,8.58620767533324,0.18480240730912,0.148083563633919,0.0342147673695723,0.219996257706038,0.93407061923632,0.000838982040597775
"6",2007-04-01,8.59042512921523,0.182618911748926,0.143554529844185,0.0422913800662724,0.252580569713824,0.973898547852693,0.000738007689144305
"7",2007-07-01,8.60297690327986,0.196876162661975,0.14930421488643,0.0469144354190414,0.227199043591571,1.03515368727665,0.0014034533958554
"8",2007-10-01,8.626776227752,0.228254015347995,0.165799494739472,0.0593930395437451,0.231305186166986,1.13213996380781,0.00262337860397792
"9",2008-01-01,8.62829057266776,0.192962908935343,0.155951909508549,0.050266232375448,0.292837661877072,1.20740350501862,0.000173160975072345
"10",2008-04-01,8.64833398720305,0.252913048133586,0.172307496333425,0.0671334742682048,0.28081858304326,1.24675602495409,0.00259632350271207
"11",2008-07-01,8.62670181541832,0.271195405581696,0.192688948048283,0.0782632967285923,0.267285731708369,1.27138557428641,-0.00257323137232072
"12",2008-10-01,8.58430938276399,0.248954167073632,0.181565109415511,0.0655600959157393,0.270060855242285,1.18087926704969,-0.00512198022561168
"13",2009-01-01,8.56022940856613,0.271577331621696,0.19366699008764,0.0756561508616415,0.211327421147444,1.14727492441103,-0.00277729183055899
"14",2009-04-01,8.56989929366405,0.272457683028724,0.198188391988685,0.0779789458227501,0.198442771498804,1.136098232118,0.00139590725170008
