"","gdp_pc_s","gov_gdp_s","priv_inv_gdp_s","tr_op_s","d_2008","d_2018"
"1",5021.82304713201,0.184517049720239,0.194728129234136,0.858420498779997,0,0
"2",5127.11919363535,0.197062947726853,0.194790850799243,0.874612601366938,0,0
"3",5237.49097669432,0.183947231701589,0.214311819454063,0.881463437053743,0,0
"4",5432.71196530484,0.197561113463972,0.205179024673046,0.887650473391231,0,0
"5",5629.59539741614,0.172701668803272,0.207118294622693,0.890763149171657,0,0
"6",5833.37998332953,0.167740021900765,0.235847990343095,0.904967041128522,0,0
"7",5948.75632477628,0.17983381269428,0.208582711332316,0.938786690577082,0,0
"8",6326.98749168603,0.202365921655556,0.198471020360951,0.982831658846398,0,0
"9",6669.56802314843,0.159744621727158,0.2367136358625,1.00637388649193,0,0
"10",7188.80675853079,0.200650360953771,0.231713034054381,0.991847833372043,0,0
"11",7336.40721267113,0.206593434224084,0.20416371337716,0.958830616864301,0,0
"12",7063.06061682308,0.189680137665775,0.201339700483376,0.89952455391474,1,0
"13",7001.43530904101,0.201629933029645,0.1610348023357,0.858081230384934,1,0
"14",7078.86373308906,0.203802899858072,0.147473429099781,0.845925908101412,1,0
"15",7248.38490456612,0.20382978017278,0.134577729355047,0.868681659212237,0,0
"16",7341.86288964365,0.202278712549397,0.137873967766637,0.909470974086831,0,0
"17",7504.14012732546,0.201855822140607,0.143783534548846,0.961007336924125,0,0
"18",7566.20770749057,0.185935294473321,0.149529571117511,1.00599066510769,0,0
"19",7954.03348221541,0.183036959491399,0.167409031497681,1.01716756643235,0,0
"20",8403.23100346799,0.196058149368823,0.175933079151423,1.03564983552127,0,0
"21",8366.40195972983,0.196532789653313,0.187032966546329,1.18487574042165,0,0
"22",9151.29917404337,0.19396931198296,0.182277536688753,1.07921117274991,0,0
"23",9358.92442791757,0.19688149522688,0.196093482554339,1.10724014224103,0,0
"24",9584.77099853545,0.172931372407349,0.205867293553181,1.12898504208324,0,0
"25",9952.18222125436,0.211831189306594,0.21870462005045,1.16033643017181,0,0
"26",9943.80247186222,0.166637442429346,0.229612066015954,1.16278671975933,0,0
"27",10250.744913567,0.183822539557525,0.225112870165404,1.13652300489783,0,0
"28",10682.5679786783,0.196061959904982,0.228498183766924,1.11952949716842,0,0
"29",10730.9123925608,0.191249417890193,0.217563280614225,1.09689252479927,0,0
"30",11198.3552745648,0.212030493158668,0.228225031534839,1.0902535929834,0,0
"31",11249.855106899,0.202223939416748,0.235394668774017,1.11772281056994,0,0
"32",11091.8152907596,0.188671755670123,0.212058206983326,1.11577891915432,0,0
"33",11949.6906522905,0.20833921928919,0.20807220636265,1.09823683054076,0,0
"34",12205.1548810797,0.217503724455145,0.201439997327356,1.08291337845666,0,0
"35",12691.2467826209,0.198970838590673,0.1978495611805,1.05315927040645,0,0
"36",12888.1948869424,0.190035016080307,0.242764928331388,1.04302608511622,0,0
"37",13273.621216042,0.230913447370392,0.223060561471118,1.01730122912786,0,0
"38",13640.4312533576,0.203398933086129,0.208505747690106,0.989489536102136,0,0
"39",14205.7736568692,0.211759831994584,0.214422050423835,0.970482175965719,0,0
"40",14374.4239476212,0.213036088678765,0.22465492165895,0.951523072289478,0,0
"41",14500.9764005722,0.22572027831148,0.202379348022079,0.945604621496306,0,0
"42",15072.9231046153,0.228309732159494,0.202318212014411,0.944343653619105,0,0
"43",15229.3117496232,0.214274653647198,0.202385447445956,0.938620791679279,0,0
"44",15279.2682572859,0.206982548698717,0.202575608403977,0.940670970218242,0,0
"45",15968.9685146152,0.217770501612767,0.200023800647241,0.945024042052614,0,0
"46",16111.0146148419,0.220466793494406,0.179780484872258,0.963192171850006,0,0
"47",16019.6363001438,0.232362978725384,0.189735539349879,0.985886070983829,0,0
"48",16665.5864491037,0.220187783509491,0.183639052197113,0.991468692078173,0,0
"49",16590.7253946322,0.217017458104338,0.176981731547393,0.97494699388166,0,1
"50",15722.8032301969,0.207584858995088,0.170338553810245,0.952053798609734,0,1
"51",15745.8878771207,0.242729785091218,0.140815512106325,0.924690861214687,0,1
"52",15582.6536857269,0.225837230750195,0.104187855217621,0.909891351250296,0,1
"53",15483.2473189519,0.203095680341935,0.0966582885258557,0.927186552760257,0,1
"54",16112.777812768,0.226077308292182,0.0897099620332892,0.937904255675603,0,1
"55",16174.6475041707,0.205577523851443,0.102186095089154,0.953685752213537,0,1
"56",16635.7299712618,0.242422085916053,0.0883642457382571,0.949892969635924,0,1
"57",16654.1684159481,0.218825440661565,0.105753659260208,0.928789387419324,0,1
"58",15606.8453277608,0.263930654590708,0.0818174980776656,0.79022241560285,0,1
"59",16663.9554149555,0.211713965520864,0.0950086891021855,0.890360591005296,0,1
"60",17051.8771290112,0.241966269207662,0.108237212911953,0.927117858886163,0,1
"61",17720.1264574694,0.260505241642011,0.117477879654519,0.986647662975147,0,1
"62",18615.5238480306,0.222308791476648,0.145370481375067,1.05986621188952,0,1
"63",18603.2503231153,0.275205319409918,0.132363147860632,1.10488385813029,0,1
"64",19663.6706922526,0.260827371434381,0.122427304751756,1.10187583042868,0,1
