"","date","gdp","gov_con","pub_inv","priv_inv","x","m","pop","growth_pop","log_gdp_pc","gov_gdp","gov_con_gdp","pub_inv_gdp","priv_inv_gdp","tr_op","growth_gdp_pc","d_2008","d_2018"
"1",2006-01-01,28990138201.2153,3803394283.38704,1076305502.12379,5486176301.90464,8519889004.29292,15182232906.1476,5618781.71641275,0.00363516485574593,8.54859612514017,0.168322750020774,0.131196141839283,0.037126608181491,0.189242847475445,0.817592580826226,NA,0,0
"2",2006-04-01,28667929457.8877,4238600418.57297,1109113043.01774,5718332698.70584,9388669125.74427,16514967621.2092,5639206.93632267,0.00363516878583346,8.53379089495818,0.186539926765424,0.147851641144832,0.0386882856205919,0.199467935314474,0.903575432087105,-0.00173189023849707,0,0
"3",2006-07-01,29701373080.7822,4067569485.70731,959689817.260614,6419180872.59865,9424147673.94004,16925434691.489,5659706.46960453,0.00363518017929504,8.56557652502192,0.169260164817792,0.13694887016315,0.0323112946546423,0.216124044337603,0.887150310989432,0.00372467880394289,0,0
"4",2006-10-01,31478269466.3418,5912758456.58611,1750424055.06345,6421019164.51663,9823840044.65224,17977632548.4967,5680280.41717848,0.0036351615908788,8.62005212780468,0.243443576840952,0.187836198012992,0.0556073788279593,0.203982597308353,0.883195711342257,0.00635982909307153,0,0
"5",2007-01-01,30056276076.1934,4336301656.72213,840050331.363628,6612233510.62346,10876779222.4072,17063353098.2653,5700929.0821011,0.00363514886697643,8.57019761418753,0.172222000322447,0.144272751745076,0.0279492485773713,0.219995101650693,0.92959394736206,-0.00578355129156805,0,0
"6",2007-04-01,30048090051.2103,3933933811.15064,1286864490.96599,7923459640.86424,11013964851.4509,19415287942.152,5721653.0111712,0.00363518450618357,8.56629662730573,0.173748091583157,0.130921260035034,0.0428268315481223,0.263692621639527,1.01268509052465,-0.000455180505446351,0,0
"7",2007-07-01,31258201751.4468,4409774634.38975,1240693845.36706,7173256406.09909,11807745670.3627,20380292582.7085,5742452.51154795,0.00363522575314137,8.60215069087608,0.180767547816319,0.141075762113719,0.0396917857026,0.229483975538262,1.02974696078226,0.00418548004233998,0,0
"8",2007-10-01,33507762814.4102,6518061246.81118,2685604796.48948,7301662879.64476,11582132595.0912,25259347650.1142,5763326.82738299,0.00363508723721384,8.66801753459772,0.274672651059311,0.194523916231377,0.0801487348279343,0.217909590684599,1.09949089854968,0.00765702044623495,0,0
"9",2008-01-01,31801147615.5155,4439562739.66236,1313849283.07082,9052920417.26109,14472120031.6864,23786609961.8675,5784277.08504153,0.00363509797136693,8.61211426751033,0.180918377295483,0.139603853085363,0.04131452421012,0.284672758565614,1.20306130005471,-0.0064493717120726,0,0
"10",2008-04-01,32304815368.9681,5568980818.15281,2206790875.18386,9694448993.15654,15024982081.6533,26896055780.3578,5805304.82406874,0.00363532706301216,8.62419945635225,0.240700081536638,0.172388566674873,0.0683115148617656,0.300093001072187,1.29767148900905,0.00140327780920302,0,0
