"","date","gdp","gov_con","pub_inv","priv_inv","x","m","pop","gdp_nom","growth_pop","log_gdp_pc","gov_gdp","gov_con_gdp","pub_inv_gdp","priv_inv_gdp","tr_op","growth_gdp_pc","d_2008","d_2018"
"1",2006-01-01,28990138201.2153,3803394283.38704,1076305502.12379,5486176301.90464,8519889004.29292,15182232906.1476,5618781.71641275,28404894621.7612,0.00363516485574593,8.54859612514017,0.171790807552318,0.133899256942613,0.0378915506097048,0.193141934689722,0.834437945504019,NA,0,0
"2",2006-04-01,28667929457.8877,4238600418.57297,1109113043.01774,5718332698.70584,9388669125.74427,16514967621.2092,5639206.93632267,28595676297.3927,0.00363516878583346,8.53379089495818,0.187011260233013,0.148225220291762,0.0387860399412504,0.199971934191576,0.905858510830721,-0.00173189023849707,0,0
"3",2006-07-01,29701373080.7822,4067569485.70731,959689817.260614,6419180872.59865,9424147673.94004,16925434691.489,5659706.46960453,29737151337.5052,0.00363518017929504,8.56557652502192,0.169056519432896,0.136784100115777,0.0322724193171197,0.215864014671191,0.886082936000542,0.00372467880394289,0,0
"4",2006-10-01,31478269466.3418,5912758456.58611,1750424055.06345,6421019164.51663,9823840044.65224,17977632548.4967,5680280.41717848,32099987949.5679,0.0036351615908788,8.62005212780468,0.238728516773562,0.184198151908207,0.0545303648653556,0.200031824765937,0.866089814015748,0.00635982909307153,0,0
"5",2007-01-01,30056276076.1934,4336301656.72213,840050331.363628,6612233510.62346,10876779222.4072,17063353098.2653,5700929.0821011,32171235967.2635,0.00363514886697643,8.57019761418753,0.160900003759665,0.134788158625134,0.0261118451345307,0.205532467492137,0.868481781337327,-0.00578355129156805,0,0
"6",2007-04-01,30048090051.2103,3933933811.15064,1286864490.96599,7923459640.86424,11013964851.4509,19415287942.152,5721653.0111712,32873473464.9228,0.00363518450618357,8.56629662730573,0.15881492741214,0.11966894266127,0.0391459847508699,0.241028975819025,0.925647629724069,-0.000455180505446351,0,0
"7",2007-07-01,31258201751.4468,4409774634.38975,1240693845.36706,7173256406.09909,11807745670.3627,20380292582.7085,5742452.51154795,34136537497.4,0.00363522575314137,8.60215069087608,0.165525530531243,0.129180489811705,0.0363450407195387,0.210134270549421,0.942920419375364,0.00418548004233998,0,0
"8",2007-10-01,33507762814.4102,6518061246.81118,2685604796.48948,7301662879.64476,11582132595.0912,25259347650.1142,5763326.82738299,37768931535.6611,0.00363508723721384,8.66801753459772,0.24368351629462,0.17257732696666,0.0711061893279602,0.193324581415564,0.975444068636681,0.00765702044623495,0,0
"9",2008-01-01,31801147615.5155,4439562739.66236,1313849283.07082,9052920417.26109,14472120031.6864,23786609961.8675,5784277.08504153,38502079141.7807,0.00363509797136693,8.61211426751033,0.149431203482459,0.115307090905768,0.0341241125766917,0.235128092275861,0.99367958422893,-0.0064493717120726,0,0
"10",2008-04-01,32304815368.9681,5568980818.15281,2206790875.18386,9694448993.15654,15024982081.6533,26896055780.3578,5805304.82406874,40923372072.5558,0.00363532706301216,8.62419945635225,0.190008088276559,0.136083136264509,0.0539249520120505,0.23689272174269,1.02437887541834,0.00140327780920302,0,0
"11",2008-07-01,32480689024.6776,5949100065.24028,2151112281.0434,8755868319.44588,14809743913.6703,27032429317.7558,5826409.37547468,42563052253.847,0.00363539074097256,8.62600008480749,0.190310889782383,0.139771462576502,0.0505394272058808,0.205715235533995,0.983063267687627,0.000208787895543905,0,0
"12",2008-10-01,32573869758.0155,6820013049.90229,2821191897.34794,8360640164.09647,12432352308.9302,24870902079.5418,5847585.65363226,42613869181.5402,0.00363453317350369,8.6252368375085,0.226245706677738,0.160042098520747,0.0662036081569906,0.196195283945683,0.875378253721942,-8.84821807887182e-05,1,0
"13",2009-01-01,30146348277.2325,5875122291.23325,1920675083.30532,6511352749.93313,13802741918.5278,20148913063.1155,5868842.45145469,40836535457.6416,0.00363514090797929,8.54416165929327,0.190902516268181,0.143869263770608,0.0470332524975722,0.159449196092728,0.831403903420264,-0.00939976255059638,1,0
"14",2009-04-01,30308425366.9155,5427082872.49522,2406326789.7845,6209745765.61869,13766120010.1943,22016235974.0715,5890182.99125811,40679474743.5602,0.0036362434295931,8.54589395245307,0.192564179150809,0.133410839414891,0.0591533397359178,0.152650588651018,0.879616961866754,0.000202745831467288,1,0
"15",2009-07-01,31511014836.5824,5878734713.40754,2081948877.19417,5784391241.26029,15680388466.3896,21767323976.2291,5911597.60826652,42491795704.3627,0.00363564545281417,8.58117632326757,0.187346367896247,0.138349877098839,0.0489964907974085,0.13612960208849,0.881292772448631,0.00412857578280312,0,0
"16",2009-10-01,32941909829.5098,7290073219.25977,3431624657.92681,5944180130.90627,14108558791.3608,25547372362.8042,5933063.22750698,44783504022.3603,0.00363110290362822,8.62196033694903,0.239411768043726,0.162784788247473,0.0766269797962527,0.132731465763339,0.885503089136679,0.00475272994576148,0,0
"17",2010-01-01,31253185500.0737,6828898988.68188,1737017831.34291,6291616565.44393,18223356565.4394,23059783825.4654,5954645.1712632,44245470140.0151,0.00363757184588165,8.56570496995016,0.193599859893406,0.154341200739235,0.0392586591541711,0.14219798197497,0.933047841061786,-0.00652466084282377,0,0
"18",2010-04-01,31366909748.2089,5324057876.44998,2369398237.12653,6791341038.02666,19213284302.602,27714426847.1728,5976323.97114277,43898832106.0926,0.00364065351604834,8.56570312815284,0.175254232162335,0.121280171271597,0.0539740608907381,0.154704367114225,1.06899680238331,-2.15019933635929e-07,0,0
"19",2010-07-01,33021814397.5581,6037684301.17058,1864756139.50721,7957857568.24293,19072398439.5084,29534379961.3632,5998037.47140117,47098605699.2396,0.00363325354569848,8.61349133678334,0.167785018757049,0.128192421230594,0.0395925975264554,0.168961638037863,1.03202159977437,0.00557901761426094,0,0
"20",2010-10-01,34774341921.1342,8178522479.81566,3745345598.18597,8848696152.76778,19185768703.3137,31730224162.8168,6019707.97715872,51809733906.8172,0.00361293270688441,8.66159634333907,0.230147255715449,0.157856870960295,0.0722903847551541,0.170792155942794,0.982749553543468,0.00558484413286653,0,0
"21",2011-01-01,33001515335.279,6754708990.24809,2753874605.82237,9249928659.82938,24601368902.8183,33678495794.3339,6041760.86199,49878976144.4107,0.00366344761489538,8.60561325574408,0.19063309496452,0.135421965573065,0.0552111293914553,0.185447444491418,1.16842544097977,-0.00646336834180017,0,0
