"","date","log_gdp_pc","gov_gdp","gov_con_gdp","pub_inv_gdp","priv_inv_gdp","tr_op","growth_gdp_pc"
"1",2006-01-01,8.56450344290489,0.17833161579491,0.136532304481368,0.0454692726055105,0.190690868840398,0.837189367914792,NA
"2",2006-04-01,8.55794988831335,0.197715550333926,0.162463146198988,0.0387229862086234,0.198574645198529,0.875841156197438,-0.000538598423895812
"3",2006-07-01,8.56644841135586,0.184135712867786,0.144736036690312,0.0381378040530048,0.214191654537141,0.892957429605502,0.000942614877870655
"4",2006-10-01,8.57890678510025,0.203565783161299,0.15731949041774,0.0405402092355423,0.205552607755508,0.897563736285274,0.00132610982239684
"5",2007-01-01,8.58620767533324,0.167025159591654,0.136802249388165,0.0314580756365824,0.207217143031078,0.881941054904454,0.000838982040597775
"6",2007-04-01,8.59042512921523,0.167905945024937,0.131769976444438,0.0389750005548739,0.235495869332335,0.896511016059977,0.000738007689144305
"7",2007-07-01,8.60297690327986,0.180289606900169,0.136343723886906,0.0428982782062664,0.208462505821166,0.940697794271427,0.0014034533958554
"8",2007-10-01,8.626776227752,0.207793239871235,0.148187363568771,0.0531645674930649,0.198844470636606,0.987632366256746,0.00262337860397792
"9",2008-01-01,8.62829057266776,0.155117514908256,0.127667390650969,0.0408824229648532,0.240431554001551,1.00141053556331,0.000173160975072345
"10",2008-04-01,8.64833398720305,0.200884716005275,0.136744001519643,0.0535509186881429,0.227741986076617,0.987915501432235,0.00259632350271207
"11",2008-07-01,8.62670181541832,0.207285786851261,0.147156132811961,0.0597076249281027,0.204043418592545,0.9544729606289,-0.00257323137232072
"12",2008-10-01,8.58430938276399,0.192928148686724,0.138776834979069,0.0501893773536957,0.201713064766884,0.888526072243815,-0.00512198022561168
"13",2009-01-01,8.56022940856613,0.19816102136042,0.143535762608899,0.0554386103658879,0.159065369599529,0.859481451989462,-0.00277729183055899
"14",2009-04-01,8.56989929366405,0.203587933297488,0.147481220680969,0.0587169631690807,0.149189888829195,0.846940634173956,0.00139590725170008
"15",2009-07-01,8.58192191640269,0.204057959499954,0.145655750110642,0.0582773211621757,0.134457340179761,0.861985730774647,0.00134648660733285
"16",2009-10-01,8.58102341555065,0.204159831326107,0.142377077445237,0.0587043551757416,0.138247285125586,0.90624027912594,-0.0002808716670872
"17",2010-01-01,8.58151648629419,0.200954313377191,0.152360617642291,0.0453510032457692,0.145950411290945,0.953349482836275,9.76549222306477e-05
"18",2010-04-01,8.58987706106256,0.185287819263657,0.134352786557286,0.0536730956424614,0.147109839037367,1.02619864039809,0.00119328669415882
"19",2010-07-01,8.61451897848967,0.182752856359034,0.134943259517922,0.0475212887667516,0.16728854326644,1.01659386538509,0.00279697856853775
"20",2010-10-01,8.62049012834818,0.19626411350081,0.139104924006019,0.0561855263007664,0.176306399013284,1.05500947659195,0.000551025869287663
"21",2011-01-01,8.6210344463821,0.197868749614252,0.132714139173943,0.0620968616707026,0.182995470411139,1.1381446524685,0.000158695773442248
"22",2011-04-01,8.65006872150859,0.193178363716344,0.143929943254612,0.0527122345529219,0.186062283573335,1.10387928075441,0.00352347806859449
"23",2011-07-01,8.67084137577579,0.196467186763,0.144115639030743,0.0522109794624647,0.195972880927826,1.14112955418311,0.00228146525481246
"24",2011-10-01,8.65241101143684,0.171576213975841,0.125229105052245,0.0476303890477537,0.206240654659866,1.1257023941308,-0.00222134216618772
"25",2012-01-01,8.69439539092808,0.215251661841685,0.150821352219622,0.0573699166647933,0.218803253626883,1.14915177483848,0.00497241086245308
"26",2012-04-01,8.68066570632816,0.16595924163313,0.115739291469998,0.052729366727107,0.229260773894374,1.17809943589264,-0.00148587199800764
"27",2012-07-01,8.694029676136,0.183122381608545,0.135792513968787,0.0471920776461332,0.224992157804967,1.14043548491462,0.00135134910168073
"28",2012-10-01,8.71930463673073,0.193604423278327,0.135424251840576,0.0602136364257367,0.22887159768134,1.12279803621726,0.00292721320905033
"29",2013-01-01,8.71360082369664,0.194792631118357,0.13415528924751,0.0669470467313111,0.221280990498485,1.08014253961836,-0.000462275975288892
"30",2013-04-01,8.7368035062611,0.212221978746928,0.13609042600335,0.0656332610935265,0.224254689444776,1.08370722862829,0.00269533345398633
"31",2013-07-01,8.74040313592556,0.201221320009036,0.138671897196613,0.0639754004878941,0.235273810699976,1.124041406125,0.000149626497449165
"32",2013-10-01,8.73693793652262,0.185331517436246,0.140372952691101,0.0491954038174439,0.212431738129313,1.12594272371446,-0.00029821832146643
"33",2014-01-01,8.75401054776748,0.21272322797282,0.138324728413123,0.0667165347248343,0.204034383702043,1.0974755677915,0.0021583867663361
"34",2014-04-01,8.76300847300476,0.218139019095407,0.159258907769734,0.0620053902526612,0.205225220323162,1.07099570719237,0.00100383008667319
"35",2014-07-01,8.76384158080981,0.197806716087736,0.142010559091639,0.056477615224315,0.197728549426504,1.03534798591681,-0.000231611881377265
"36",2014-10-01,8.78135909285968,0.186472354112091,0.133964730815609,0.0566701663486111,0.243138598563271,1.05301737902288,0.00220579111655105
"37",2015-01-01,8.78582039092977,0.235957301807042,0.157983857666447,0.0681033605534259,0.224709970541629,1.0199026531303,0.000749563521701535
"38",2015-04-01,8.77924965727648,0.203702991349117,0.125181166837211,0.0802570814525187,0.206603738968423,0.987405013190455,-0.000830219263246285
"39",2015-07-01,8.81318769288581,0.210664236337754,0.138772375688032,0.0736725616485502,0.214300891485765,0.954716160142534,0.00348179506113881
"40",2015-10-01,8.81844310455172,0.209833476478112,0.137167606044454,0.0756600745126567,0.225028756551988,0.962288269539246,0.000889025693029149
